ResourceID1;ResourceLabel1;ResourceID2;ResourceLabel2;ObjectID;ObjectName;FirstTS;LastTS;MedTS
5;Angelo Michel;14;Jef Mendel;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
5;Angelo Michel;8;Christie Agath;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
5;Angelo Michel;10;Dave Alanies;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
5;Angelo Michel;13;Hugo Victor;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
5;Angelo Michel;15;Martin Stevenson;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
14;Jef Mendel;15;Martin Stevenson;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
1;Adam Douglas;5;Angelo Michel;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
1;Adam Douglas;14;Jef Mendel;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
1;Adam Douglas;8;Christie Agath;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
1;Adam Douglas;10;Dave Alanies;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
1;Adam Douglas;13;Hugo Victor;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
1;Adam Douglas;15;Martin Stevenson;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
8;Christie Agath;14;Jef Mendel;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
8;Christie Agath;10;Dave Alanies;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
8;Christie Agath;13;Hugo Victor;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
8;Christie Agath;15;Martin Stevenson;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
10;Dave Alanies;14;Jef Mendel;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
10;Dave Alanies;13;Hugo Victor;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
10;Dave Alanies;15;Martin Stevenson;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
13;Hugo Victor;14;Jef Mendel;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
13;Hugo Victor;15;Martin Stevenson;1;Daily Standup 1;1/03/2022 10:00:00;1/03/2022 10:30:00;1/03/2022 10:00:00
5;Angelo Michel;19;Viv Aldi;2;Daily Standup 2;1/03/2022 10:30:00;1/03/2022 11:00:00;1/03/2022 10:30:00
5;Angelo Michel;11;Dennis Hugh;2;Daily Standup 2;1/03/2022 10:30:00;1/03/2022 11:00:00;1/03/2022 10:30:00
5;Angelo Michel;17;Michelle Davids;2;Daily Standup 2;1/03/2022 10:30:00;1/03/2022 11:00:00;1/03/2022 10:30:00
4;An Millic;5;Angelo Michel;2;Daily Standup 2;1/03/2022 10:30:00;1/03/2022 11:00:00;1/03/2022 10:30:00
4;An Millic;19;Viv Aldi;2;Daily Standup 2;1/03/2022 10:30:00;1/03/2022 11:00:00;1/03/2022 10:30:00
4;An Millic;11;Dennis Hugh;2;Daily Standup 2;1/03/2022 10:30:00;1/03/2022 11:00:00;1/03/2022 10:30:00
4;An Millic;17;Michelle Davids;2;Daily Standup 2;1/03/2022 10:30:00;1/03/2022 11:00:00;1/03/2022 10:30:00
